"Time","Digital_FlowMeter","Real_FlowMeter"
"2019-01-16 14:01:42","67.4000","67.4000"
"2019-01-16 14:01:43","67.4000","67.4000"
"2019-01-16 14:01:44","-0.1000","-0.1000"
"2019-01-16 14:01:44","-0.1000","-0.1000"
"2019-01-16 14:01:44","67.4000","67.4000"
"2019-01-16 14:01:45","67.4000","67.4000"
"2019-01-16 14:01:46","67.4000","67.4000"
"2019-01-16 14:01:47","67.4000","67.4000"
"2019-01-16 14:01:48","63.3560","67.4000"
"2019-01-16 14:01:49","61.3340","67.4000"
"2019-01-16 14:01:50","58.6380","67.4000"
"2019-01-16 14:01:51","63.3560","67.4000"
"2019-01-16 14:01:52","61.3340","67.4000"
"2019-01-16 14:01:53","67.4000","67.4000"
"2019-01-16 14:01:54","67.4000","67.4000"
"2019-01-16 14:01:55","67.4000","67.4000"
"2019-01-16 14:01:56","67.4000","67.4000"
"2019-01-16 14:13:52","-0.1000","-0.1000"
"2019-01-16 14:13:53","-0.1000","-0.1000"
"2019-01-16 14:13:54","-0.1000","-0.1000"
"2019-01-16 14:13:55","-0.1000","-0.1000"
"2019-01-16 14:13:56","-0.1000","-0.1000"
"2019-01-16 14:13:57","-0.1000","-0.1000"
"2019-01-16 14:13:58","-0.1000","-0.1000"
"2019-01-16 14:13:59","-0.1000","-0.1000"
"2019-01-16 14:14:00","67.4000","67.4000"
"2019-01-16 14:14:00","67.4000","67.4000"
"2019-01-16 14:14:01","67.4000","67.4000"
"2019-01-16 14:14:02","67.4000","67.4000"
"2019-01-16 14:14:03","67.4000","67.4000"
"2019-01-16 14:14:04","67.4000","67.4000"
"2019-01-16 14:14:05","67.4000","67.4000"
"2019-01-16 14:14:06","67.4000","67.4000"
"2019-01-16 14:14:07","67.4000","67.4000"
"2019-01-16 14:14:08","67.4000","67.4000"
"2019-01-16 14:14:09","67.4000","67.4000"
"2019-01-16 14:14:10","67.4000","67.4000"
"2019-01-16 14:14:11","67.4000","67.4000"
"2019-01-16 14:14:12","67.4000","67.4000"
"2019-01-16 14:14:13","67.4000","67.4000"
"2019-01-16 14:14:14","67.4000","67.4000"
"2019-01-16 14:14:15","67.4000","67.4000"
"2019-01-16 14:14:16","67.4000","67.4000"
"2019-01-16 14:14:17","67.4000","67.4000"
"2019-01-16 14:14:18","67.4000","67.4000"
"2019-01-16 14:14:19","67.4000","67.4000"
"2019-01-16 14:14:20","67.4000","67.4000"
"2019-01-16 14:14:21","67.4000","67.4000"
"2019-01-16 14:14:22","67.4000","67.4000"
"2019-01-16 14:14:23","67.4000","67.4000"
"2019-01-16 14:14:24","67.4000","67.4000"
"2019-01-16 14:14:25","67.4000","67.4000"
"2019-01-16 14:14:26","67.4000","67.4000"
"2019-01-16 14:14:27","67.4000","67.4000"
"2019-01-16 14:14:28","67.4000","67.4000"
"2019-01-16 14:14:29","67.4000","67.4000"
"2019-01-16 14:14:30","67.4000","67.4000"
"2019-01-16 14:14:31","67.4000","67.4000"
"2019-01-16 14:14:32","67.4000","67.4000"
"2019-01-16 14:14:33","67.4000","67.4000"
"2019-01-16 14:14:34","67.4000","67.4000"
"2019-01-16 14:14:35","67.4000","67.4000"
"2019-01-16 14:14:36","67.4000","67.4000"
"2019-01-16 14:14:37","67.4000","67.4000"
"2019-01-16 14:14:38","67.4000","67.4000"
"2019-01-16 14:14:39","67.4000","67.4000"
"2019-01-16 14:14:40","67.4000","67.4000"
"2019-01-16 14:14:41","67.4000","67.4000"
"2019-01-16 14:14:42","67.4000","67.4000"
"2019-01-16 14:14:43","67.4000","67.4000"
"2019-01-16 14:14:44","67.4000","67.4000"
"2019-01-16 14:14:45","67.4000","67.4000"
"2019-01-16 14:14:46","67.4000","67.4000"
"2019-01-16 14:14:47","67.4000","67.4000"
"2019-01-16 14:14:48","67.4000","67.4000"
"2019-01-16 14:14:49","67.4000","67.4000"
"2019-01-16 14:14:50","67.4000","67.4000"
"2019-01-16 14:14:51","67.4000","67.4000"
"2019-01-16 14:14:52","67.4000","67.4000"
"2019-01-16 14:14:53","67.4000","67.4000"
"2019-01-16 14:14:54","67.4000","67.4000"
